Attrition_Flag,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Marital_Status_Married,Marital_Status_Single,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
0,-0.16760956194962015,1,3,0.37723382410508344,5,1,3,0.3401899164694039,0.30870083432657924,0.3451163329759801,1.335,0.036259651129539605,0.25806451612903225,1.625,0.061,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0.3298622218354624,0,5,1.0020742237514217,6,1,2,0.20611167040029993,0.3432657926102503,0.21409324022831977,1.541,0.04466685730626252,0.18548387096774194,3.714,0.105,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,0.5785981137280036,1,3,0.002329584317280495,4,1,0,0.05984998957001244,0.0,0.09894822240894736,2.594,0.07875321704317988,0.08064516129032258,2.333,0.0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
0,-0.7894492916809732,1,3,-1.8721916146217341,5,1,0,0.09909092832935787,0.0,0.1365572393011329,2.175,0.01750071489848442,0.14516129032258063,2.5,0.0,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False
0,-0.2919775078958908,1,2,0.002329584317280495,3,1,2,0.07774724361125473,0.4954310687326182,0.0799698664271434,1.376,0.033056905919359454,0.11290322580645161,0.846,0.311,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
0,-1.162553129519785,1,3,0.002329584317280495,5,2,0,0.6322598004093393,1.0,0.5746240547040246,3.355,0.04804117815270231,0.11290322580645161,1.182,0.113,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
0,0.20549427588919172,1,2,0.002329584317280495,6,3,3,0.3088999537452725,0.66626936829559,0.28905050270912414,1.524,0.05324563911924507,0.1774193548387097,0.882,0.144,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,1.2004378434593568,1,1,0.002329584317280495,3,6,0,0.3117719793093232,0.0,0.340393474922493,3.397,0.058850443237060346,0.0564516129032258,3.25,0.0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,1.3248057894056273,0,2,1.5019465434684922,5,2,2,0.03016231479214094,0.2701628923321414,0.050792455016950136,1.19,0.060623391478410074,0.15322580645161288,0.611,0.279,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,0.20549427588919172,1,4,0.002329584317280495,6,2,3,0.8745680624710909,0.9384187524831148,0.8113464491640832,1.708,0.06639977123248499,0.13709677419354838,0.929,0.078,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
0,1.82227757319071,1,1,2.5016911829026336,2,2,3,0.05304782376041866,1.0,0.0194998985889375,1.831,0.04724049185015729,0.16129032258064518,1.143,0.788,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
0,0.0811263299429211,1,1,0.7521380638928864,5,2,0,0.5907514730467959,0.7151370679380215,0.5556167241329354,0.906,0.03820417500714898,0.13709677419354838,0.929,0.086,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
1,1.9466455191369805,0,0,1.6269146233977598,2,3,3,0.0,0.0,0.041587228001043086,1.047,0.010408921933085506,0.04838709677419355,0.6,0.0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,-0.6650813457347027,1,3,-0.37257465547052243,4,2,1,0.09165389371086866,0.2701628923321414,0.1097267696230406,1.608,0.024077780955104378,0.06451612903225805,1.571,0.152,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
0,-0.6650813457347027,0,3,-0.9974150551168607,6,1,2,0.1913585285554921,0.6630909813269765,0.17662909628256018,0.797,0.03094080640549042,0.09677419354838711,0.833,0.215,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,0.0811263299429211,1,4,0.7521380638928864,6,0,0,0.10117692584429996,0.5411203814064363,0.09909309535537335,0.739,0.03059765513297112,0.22580645161290325,0.9,0.285,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
0,0.8273340056205448,1,2,1.5019465434684922,2,5,1,0.030615792512780522,0.6714342471195868,0.021962738678179237,1.323,0.06211038032599371,0.12903225806451613,1.6,0.69,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False
0,-0.6650813457347027,1,4,0.002329584317280495,4,1,2,0.22627631304474013,1.0,0.18552429519311564,1.726,0.06171003717472119,0.11290322580645161,1.667,0.282,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0.8273340056205448,0,2,0.25226574417581576,5,2,3,0.03663193027326569,0.591974572904251,0.033523599802972794,1.75,0.05152988275664856,0.14516129032258063,1.0,0.562,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,1.449173735351898,1,0,1.6269146233977598,6,2,2,0.33607838513560495,0.6738180373460468,0.3145481412800974,0.519,0.04466685730626252,0.11290322580645161,0.714,0.135,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
0,1.076069897513086,0,1,0.002329584317280495,4,2,1,0.06293363807036162,0.7604290822407628,0.046446266624170604,0.51,0.05130111524163569,0.2661290322580645,0.483,0.544,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,1.076069897513086,0,3,0.002329584317280495,6,2,3,0.04827119176968169,0.9129916567342073,0.02126734853533451,1.724,0.07818129825564771,0.217741935483871,1.176,0.757,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,-0.540713399788432,0,4,0.002329584317280495,2,3,3,0.42308564380232,0.0,0.44707791267058794,0.865,0.026079496711466976,0.09677419354838711,1.2,0.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
0,-0.16760956194962015,1,3,0.6271699839636188,2,2,2,0.9368154375908845,0.22963845848232023,0.9226957957870947,1.042,0.034257935373177006,0.14516129032258063,0.474,0.018,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,0.454230167781733,0,1,0.877106143822154,3,2,3,0.47964943149009753,1.0,0.42836032799235074,1.449,0.07126108092650844,0.18548387096774194,1.2,0.145,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0.3298622218354624,1,3,0.12729766424654815,5,2,1,0.07460313141482028,0.0,0.11308782198012343,1.214,0.07126108092650844,0.1774193548387097,1.0,0.0,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0.3298622218354624,1,4,-0.7474788952583253,3,2,3,1.0000000000000002,0.0,1.0,1.621,0.05341721475550472,0.14516129032258063,1.333,0.0,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
0,1.2004378434593568,1,2,1.1270423036806894,6,2,0,0.025536842041617165,0.5681366706396503,0.02462840089241735,2.316,0.07040320274521018,0.13709677419354838,0.588,0.626,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
0,1.5735416812981686,1,1,2.0018188631855627,3,2,2,0.0335482817729165,0.8025427095748907,0.015211659374728364,2.357,0.0691449814126394,0.13709677419354838,1.7,0.793,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
0,-0.04324161600334952,1,3,0.502201904034351,4,3,3,0.544768832173942,0.5701231624950338,0.5221220989192479,0.787,0.04043465827852445,0.13709677419354838,0.8,0.074,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
0,0.7029660596742743,1,1,0.502201904034351,5,1,1,0.09996765192259438,0.48748510131108463,0.10184568133746705,0.624,0.036030883614526735,0.24193548387096775,0.6,0.259,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
1,0.9517019515668155,0,1,0.502201904034351,2,3,1,0.0,0.3210170838299563,0.018175759858604004,0.997,0.011152416356877325,0.07258064516129033,0.9,0.562,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,2.444117302922063,0,0,2.2517550230440984,3,4,2,0.0523827231034806,0.8657131505760827,0.028655868803059717,1.224,0.08212753788961968,0.22580645161290325,1.923,0.687,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False
1,1.2004378434593568,1,2,0.002329584317280495,1,3,3,0.4332435447446467,0.0,0.45681337467041405,1.041,0.005261652845295971,0.040322580645161296,0.364,0.0,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False
0,0.3298622218354624,0,3,0.002329584317280495,2,2,0,0.041227171175746806,0.9388160508541915,0.01263292092834584,0.75,0.044895624821275376,0.24193548387096775,0.6,0.843,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,1.2004378434593568,1,2,1.7518827033270277,4,2,3,0.09129111153435701,0.7469209376241558,0.07460956740938197,1.107,0.05227337718044038,0.15322580645161288,1.417,0.422,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False
0,-0.540713399788432,1,2,-0.2476065755412548,4,4,3,0.05737097803051603,0.6964640444974176,0.045779851070611076,0.69,0.037632256219616814,0.13709677419354838,1.25,0.525,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
1,0.20549427588919172,1,2,-0.12263849561198716,2,4,4,1.0000000000000002,0.0,1.0,0.763,0.010351730054332285,0.040322580645161296,0.5,0.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
0,-0.9138172376272439,1,1,-0.37257465547052243,5,3,3,0.13567146446095105,0.4970202622169249,0.13536928114043983,0.944,0.046096654275092935,0.14516129032258063,1.154,0.211,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
0,-0.2919775078958908,1,4,-0.4975427353997901,2,4,2,0.6807819165177749,0.8351211760031784,0.6331527250601223,0.997,0.04380897912496426,0.12903225806451613,0.733,0.088,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False
0,0.8273340056205448,1,2,1.0020742237514217,4,2,2,0.40195358202051534,0.6491855383392928,0.37948019586822357,0.989,0.04455247354875608,0.10483870967741936,0.917,0.111,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
0,0.5785981137280036,1,4,0.25226574417581576,4,1,4,1.0000000000000002,0.601907032181168,0.9561034972329268,0.592,0.04478124106376895,0.1774193548387097,0.6,0.044,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
0,1.3248057894056273,1,2,2.0018188631855627,5,3,3,0.15556402047300752,0.721891140246325,0.13803494335467795,0.62,0.048212753788961976,0.20161290322580644,0.667,0.276,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
0,-0.2919775078958908,0,2,-1.997159694551002,6,3,3,0.019520704281132013,0.5832340087405642,0.01776142323182569,1.004,0.03557334858450101,0.14516129032258063,0.556,0.704,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False
0,0.3298622218354624,1,2,-0.4975427353997901,2,2,2,0.007518660608204324,0.4398092967818832,0.0167183380175586,1.715,0.06634257935373178,0.0564516129032258,2.4,0.656,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0.454230167781733,1,2,0.25226574417581576,6,2,2,0.721383288439039,0.5284068335319825,0.6944339813983137,1.072,0.01870174435230197,0.040322580645161296,2.0,0.053,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
0,0.5785981137280036,1,4,0.7521380638928864,3,2,3,1.0000000000000002,0.7004370282081843,0.9489177990901979,1.266,0.05947955390334572,0.25,1.05,0.051,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False
0,1.076069897513086,0,2,0.7521380638928864,5,3,3,0.023511308222760353,0.41080651569328563,0.03416104076724713,0.758,0.05890763511581355,0.2096774193548387,0.286,0.467,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,-0.540713399788432,1,5,0.12729766424654815,6,2,2,0.6492198671612597,0.6070719110051649,0.6195346680960798,0.414,0.050557620817843874,0.20161290322580644,0.522,0.067,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False
0,-0.2919775078958908,1,1,-0.12263849561198716,3,3,3,0.6915142225729117,0.767580452920143,0.6483643844348507,1.312,0.047526451243923365,0.11290322580645161,1.182,0.079,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
