Dataset,Model,Accuracy,Precision,Recall,F1_Score,Cluster
Cluster_I,KNN,78.6,29.82,44.74,35.79,I
Cluster_I,LR,87.72,54.05,52.63,53.33,I
Cluster_I,DT,90.53,63.41,68.42,65.82,I
Cluster_I,RF,93.68,85.71,63.16,72.73,I
Cluster_I,SVM,87.37,52.78,50.0,51.35,I
Cluster_II,KNN,74.13,46.32,58.67,51.76,II
Cluster_II,LR,89.59,75.61,82.67,78.98,II
Cluster_II,DT,89.91,76.54,82.67,79.49,II
Cluster_II,RF,94.64,87.18,90.67,88.89,II
Cluster_II,SVM,85.8,70.27,69.33,69.8,II
Cluster_III,KNN,78.61,17.57,44.83,25.24,III
Cluster_III,LR,91.94,50.0,72.41,59.15,III
Cluster_III,DT,92.22,51.16,75.86,61.11,III
Cluster_III,RF,96.94,82.14,79.31,80.7,III
Cluster_III,SVM,90.56,44.9,75.86,56.41,III
Cluster_IV,KNN,64.85,20.18,34.38,25.43,IV
Cluster_IV,LR,87.47,65.52,59.38,62.3,IV
Cluster_IV,DT,87.47,60.71,79.69,68.92,IV
Cluster_IV,RF,92.92,82.76,75.0,78.69,IV
Cluster_IV,SVM,84.2,54.29,59.38,56.72,IV
Cluster_V,KNN,75.78,42.54,58.76,49.35,V
Cluster_V,LR,91.93,76.36,86.6,81.16,V
Cluster_V,DT,94.41,87.23,84.54,85.86,V
Cluster_V,RF,95.03,87.63,87.63,87.63,V
Cluster_V,SVM,92.13,79.21,82.47,80.81,V
Cluster_VI,KNN,76.11,15.87,31.25,21.05,VI
Cluster_VI,LR,86.94,33.33,28.12,30.51,VI
Cluster_VI,DT,90.76,53.49,71.88,61.33,VI
Cluster_VI,RF,91.72,63.64,43.75,51.85,VI
Cluster_VI,SVM,84.39,25.71,28.12,26.87,VI
